,stem,img_file,label_file,is_test,class
545,Mathebau_55,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Mathebau_55.jpg,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Mathebau_55.txt,True,Mathebau
463,Lernzentrum_20,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Lernzentrum_20.jpg,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Lernzentrum_20.txt,True,Lernzentrum
73,Alte_Bib_60,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Alte_Bib_60.jpg,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Alte_Bib_60.txt,True,Alte_Bib
658,Mensa_12,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Mensa_12.jpg,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Mensa_12.txt,True,Mensa
0,AKK_ASTA_10,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/AKK_ASTA_10.jpg,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/AKK_ASTA_10.txt,True,AKK_ASTA
659,Mensa_11,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Mensa_11.jpg,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Mensa_11.txt,True,Mensa
443,Lernzentrum_43,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Lernzentrum_43.jpg,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Lernzentrum_43.txt,True,Lernzentrum
754,Soldat_9,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Soldat_9.jpg,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Soldat_9.txt,True,Soldat
315,Haber_Bosch_14,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Haber_Bosch_14.jpg,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Haber_Bosch_14.txt,True,Haber_Bosch
211,Gruenderschmiede_13,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Gruenderschmiede_13.jpg,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Gruenderschmiede_13.txt,True,Gruenderschmiede
708,Neue_Bib_14,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Neue_Bib_14.jpg,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Neue_Bib_14.txt,True,Neue_Bib
349,Kolben_1,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Kolben_1.jpg,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Kolben_1.txt,True,Kolben
720,Soldat_22,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Soldat_22.jpg,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Soldat_22.txt,True,Soldat
118,Alte_Bib_94,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Alte_Bib_94.jpg,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Alte_Bib_94.txt,True,Alte_Bib
217,Gruenderschmiede_2,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Gruenderschmiede_2.jpg,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Gruenderschmiede_2.txt,True,Gruenderschmiede
357,Kolben_21,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Kolben_21.jpg,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Kolben_21.txt,True,Kolben
617,Mensa_45,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Mensa_45.jpg,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Mensa_45.txt,True,Mensa
445,Lernzentrum_55,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Lernzentrum_55.jpg,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Lernzentrum_55.txt,True,Lernzentrum
334,Kolben_43,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Kolben_43.jpg,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Kolben_43.txt,True,Kolben
379,Kolben_16,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Kolben_16.jpg,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Kolben_16.txt,True,Kolben
789,Studierendenwerk_7,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Studierendenwerk_7.jpg,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Studierendenwerk_7.txt,True,Studierendenwerk
602,Mensa_34,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Mensa_34.jpg,/content/gdrive/MyDrive/AISS_CV-main/preprocessing/data/Mensa_34.txt,True,Mensa
